Model ID,Performance,Performance Bin,Length Width Ratio,Length Width Bin,Display Ratio,Display Ratio Bin
1619,0.16833639533333300,Medium Performance,2.395673371934170,Vertical Screen,2.510204088804670,Vertical Display
1620,0.16833639533333300,Medium Performance,2.395673371934170,Vertical Screen,2.510204088804670,Vertical Display
1621,0.140657107,Medium Performance,1.8198546877292700,Vertical Screen,2.510204088804670,Vertical Display
1623,0.2617384616666670,Medium Performance,1.896901166998920,Vertical Screen,2.4661654092991700,Vertical Display
1627,0.14310340766666700,Medium Performance,1.5934782631558600,Vertical Screen,1.1536796557127100,Vertical Display
1625,0.159110707,Medium Performance,1.708212792860720,Vertical Screen,0.8460317412158730,Horizantal Display
1626,0.19320293200000000,Medium Performance,2.002732231576590,Vertical Screen,2.4848484909476600,Vertical Display
1628,0.15352039233333300,Medium Performance,1.7320089268761900,Vertical Screen,1.1536796557127100,Vertical Display
1624,0.21562539066666700,Medium Performance,1.4584623009447300,Vertical Screen,2.4848484909476600,Vertical Display
1622,0.19320293200000000,Medium Performance,1.9594608120136900,Vertical Screen,2.4848484909476600,Vertical Display
1603,0.163443794,Medium Performance,1.7965156541872400,Vertical Screen,2.4848484909476600,Vertical Display
1604,0.21562539066666700,Medium Performance,1.7965156541872400,Vertical Screen,2.4848484909476600,Vertical Display
1605,0.17233822033333300,Medium Performance,3.189918871182420,Vertical Screen,2.510204088804670,Vertical Display
1607,0.20882840866666700,Medium Performance,1.9594608120136900,Vertical Screen,2.4848484909476600,Vertical Display
1608,0.19879324666666700,Medium Performance,1.8630067321333800,Vertical Screen,1.0123456785624100,Vertical Display
1606,0.17233822033333300,Medium Performance,3.592529986444260,Vertical Screen,2.510204088804670,Vertical Display
1609,0.19320293200000000,Medium Performance,2.0973735447994600,Vertical Screen,2.4848484909476600,Vertical Display
1610,0.19039240333333300,Medium Performance,1.8106520066311400,Vertical Screen,3.2074830072424700,Vertical Display
1654,0.17716489000000000,Medium Performance,1.7050288006596500,Vertical Screen,0.924812029296399,Horizantal Display
1650,0.19356716,Medium Performance,2.0991752983925900,Vertical Screen,2.8534798549701300,Vertical Display
1651,0.33523252433333300,High Performance,1.8923454212517200,Vertical Screen,2.4661654092991700,Vertical Display
1652,0.156330921,Medium Performance,1.923973100151920,Vertical Screen,2.510204088804670,Vertical Display
1653,0.17716489000000000,Medium Performance,1.7050288006596500,Vertical Screen,0.924812029296399,Horizantal Display
1649,0.16833639533333300,Medium Performance,2.3798701293447000,Vertical Screen,2.510204088804670,Vertical Display
1655,0.12059314300000000,Low Performance,1.7094117239081900,Vertical Screen,1.1536796557127100,Vertical Display
1661,0.1437703783333330,Medium Performance,2.157639701936550,Vertical Screen,0.8460317412158730,Horizantal Display
1657,0.21562539066666700,Medium Performance,1.7970945529291000,Vertical Screen,2.4848484909476600,Vertical Display
1658,0.15352039233333300,Medium Performance,1.8434239901290800,Vertical Screen,1.1536796557127100,Vertical Display
1659,0.20882840866666700,Medium Performance,1.9040060028128000,Vertical Screen,2.4848484909476600,Vertical Display
1660,0.2617384616666670,Medium Performance,1.9096260932922800,Vertical Screen,2.4661654092991700,Vertical Display
1662,0.14310340766666700,Medium Performance,1.6408940663409700,Vertical Screen,1.1536796557127100,Vertical Display
1663,0.33523252433333300,High Performance,1.8923454212517200,Vertical Screen,2.4661654092991700,Vertical Display
1664,0.15499697933333300,Medium Performance,3.747380414809840,Vertical Screen,2.510204088804670,Vertical Display
1656,0.24208041733333300,Medium Performance,2.1582842695986300,Vertical Screen,2.8534798549701300,Vertical Display
1645,0.14372561733333300,Medium Performance,1.515035200450340,Vertical Screen,0.7706766900013850,Horizantal Display
1629,0.21562539066666700,Medium Performance,1.7965156541872400,Vertical Screen,2.4848484909476600,Vertical Display
1630,0.19320293200000000,Medium Performance,1.9594608120136900,Vertical Screen,2.4848484909476600,Vertical Display
1631,0.19320293200000000,Medium Performance,1.9594608120136900,Vertical Screen,2.4848484909476600,Vertical Display
1632,0.2617384616666670,Medium Performance,1.8651819442929700,Vertical Screen,2.4661654092991700,Vertical Display
1633,0.20882840866666700,Medium Performance,1.9040060028128000,Vertical Screen,2.4848484909476600,Vertical Display
1635,0.1695584343333330,Medium Performance,1.7599768111378600,Vertical Screen,3.2074830072424700,Vertical Display
1634,0.2617384616666670,Medium Performance,1.7320089268761900,Vertical Screen,2.4661654092991700,Vertical Display
1644,0.13330863266666700,Medium Performance,1.515035200450340,Vertical Screen,0.7706766900013850,Horizantal Display
1672,0.2617384616666670,Medium Performance,1.9096260932922800,Vertical Screen,2.4661654092991700,Vertical Display
1675,0.19320293200000000,Medium Performance,1.9558727885434700,Vertical Screen,2.4848484909476600,Vertical Display
1674,0.2617384616666670,Medium Performance,1.9096260932922800,Vertical Screen,2.4661654092991700,Vertical Display
1673,0.2617384616666670,Medium Performance,1.9929149242113500,Vertical Screen,2.4661654092991700,Vertical Display
1671,0.301883984,High Performance,1.9518153200561700,Vertical Screen,2.4661654092991700,Vertical Display
1666,0.2196579586666670,Medium Performance,1.788957448913590,Vertical Screen,1.9523809514561400,Vertical Display
1668,0.20882840866666700,Medium Performance,1.9040060028128000,Vertical Screen,2.4848484909476600,Vertical Display
1667,0.209240974,Medium Performance,1.5118451525387300,Vertical Screen,1.9523809514561400,Vertical Display
1670,0.301883984,High Performance,1.9518153200561700,Vertical Screen,2.4661654092991700,Vertical Display
1665,0.20882840866666700,Medium Performance,1.9040060028128000,Vertical Screen,2.4848484909476600,Vertical Display
1692,0.19356716,Medium Performance,1.9438283474055400,Vertical Screen,2.8534798549701300,Vertical Display
1693,0.140657107,Medium Performance,1.8198546877292700,Vertical Screen,2.510204088804670,Vertical Display
1694,0.159110707,Medium Performance,1.6992879578791800,Vertical Screen,0.8460317412158730,Horizantal Display
1695,0.159110707,Medium Performance,1.708212792860720,Vertical Screen,0.8460317412158730,Horizantal Display
1696,0.159110707,Medium Performance,1.708212792860720,Vertical Screen,0.8460317412158730,Horizantal Display
1698,0.18556573366666700,Medium Performance,1.6992879578791800,Vertical Screen,3.2074830072424700,Vertical Display
1700,0.17233822033333300,Medium Performance,1.6408940663409700,Vertical Screen,0.924812029296399,Horizantal Display
1691,0.255595445,Medium Performance,3.3650276528697700,Vertical Screen,1.9523809514561400,Vertical Display
1701,0.21562539066666700,Medium Performance,1.7970945529291000,Vertical Screen,2.4848484909476600,Vertical Display
1702,0.21562539066666700,Medium Performance,1.7970945529291000,Vertical Screen,2.4848484909476600,Vertical Display
1703,0.2617384616666670,Medium Performance,1.7320089268761900,Vertical Screen,2.4661654092991700,Vertical Display
1704,0.26853544366666700,Medium Performance,1.9512056416064000,Vertical Screen,2.4661654092991700,Vertical Display
1699,0.2617384616666670,Medium Performance,1.9169008648213300,Vertical Screen,2.4661654092991700,Vertical Display
1690,0.255595445,Medium Performance,3.3650276528697700,Vertical Screen,1.9523809514561400,Vertical Display
1697,0.159110707,Medium Performance,1.708212792860720,Vertical Screen,0.8460317412158730,Horizantal Display
1676,0.156330921,Medium Performance,1.5457981924177200,Vertical Screen,2.510204088804670,Vertical Display
1677,0.22524827333333300,Medium Performance,2.3108448882453600,Vertical Screen,1.9523809514561400,Vertical Display
1678,0.22524827333333300,Medium Performance,2.3108448882453600,Vertical Screen,1.9523809514561400,Vertical Display
1680,0.22524827333333300,Medium Performance,2.3108448882453600,Vertical Screen,1.9523809514561400,Vertical Display
1681,0.15499697933333300,Medium Performance,2.2845538438800900,Vertical Screen,2.510204088804670,Vertical Display
1679,0.22524827333333300,Medium Performance,2.3108448882453600,Vertical Screen,1.9523809514561400,Vertical Display
1683,0.18556573366666700,Medium Performance,1.9921915362018000,Vertical Screen,3.2074830072424700,Vertical Display
1684,0.255595445,Medium Performance,2.348658722614050,Vertical Screen,1.9523809514561400,Vertical Display
1685,0.255595445,Medium Performance,2.348658722614050,Vertical Screen,1.9523809514561400,Vertical Display
1686,0.14310340766666700,Medium Performance,1.7126168269275300,Vertical Screen,1.1536796557127100,Vertical Display
1687,0.19879324666666700,Medium Performance,1.750213830441610,Vertical Screen,2.4848484909476600,Vertical Display
1682,0.15499697933333300,Medium Performance,2.2845538438800900,Vertical Screen,2.510204088804670,Vertical Display
1732,0.19320293200000000,Medium Performance,2.002732231576590,Vertical Screen,2.4848484909476600,Vertical Display
1727,0.20929139133333300,Medium Performance,1.9231534773281400,Vertical Screen,0.8460317412158730,Horizantal Display
1728,0.16393737666666700,Medium Performance,1.747685051310240,Vertical Screen,1.1536796557127100,Vertical Display
1729,0.17716489000000000,Medium Performance,1.885429356147460,Vertical Screen,1.5974026045183,Vertical Display
1730,0.301883984,High Performance,1.862189627457040,Vertical Screen,2.4661654092991700,Vertical Display
1731,0.301883984,High Performance,2.015297653435630,Vertical Screen,2.4661654092991700,Vertical Display
1742,0.2617384616666670,Medium Performance,1.8775614789642800,Vertical Screen,2.4661654092991700,Vertical Display
1739,0.19320293200000000,Medium Performance,1.7970945529291000,Vertical Screen,2.4848484909476600,Vertical Display
1734,0.301883984,High Performance,1.9518153200561700,Vertical Screen,2.4661654092991700,Vertical Display
1735,0.16393737666666700,Medium Performance,1.7214789747395100,Vertical Screen,1.1536796557127100,Vertical Display
1736,0.24208041733333300,Medium Performance,1.9511154215877100,Vertical Screen,2.8534798549701300,Vertical Display
1737,0.20882840866666700,Medium Performance,1.9324961352061000,Vertical Screen,2.4848484909476600,Vertical Display
1738,0.183452918,Medium Performance,1.6509009042175800,Vertical Screen,2.4848484909476600,Vertical Display
1740,0.16393737666666700,Medium Performance,1.6408940663409700,Vertical Screen,1.1536796557127100,Vertical Display
1741,0.16393737666666700,Medium Performance,1.8738435228618500,Vertical Screen,0.8460317412158730,Horizantal Display
1733,0.301883984,High Performance,1.9518153200561700,Vertical Screen,2.4661654092991700,Vertical Display
1724,0.19356716,Medium Performance,2.0603329461136500,Vertical Screen,2.8534798549701300,Vertical Display
1714,0.22524827333333300,Medium Performance,2.3108448882453600,Vertical Screen,1.9523809514561400,Vertical Display
1722,0.19039240333333300,Medium Performance,1.8264918045322400,Vertical Screen,3.2074830072424700,Vertical Display
1723,0.22524827333333300,Medium Performance,3.1831505736994400,Vertical Screen,1.9523809514561400,Vertical Display
1706,0.19039240333333300,Medium Performance,1.9420433783179100,Vertical Screen,3.2074830072424700,Vertical Display
1707,0.19039240333333300,Medium Performance,1.9420433783179100,Vertical Screen,3.2074830072424700,Vertical Display
1708,0.19039240333333300,Medium Performance,1.9494680872425000,Vertical Screen,3.2074830072424700,Vertical Display
1709,0.19039240333333300,Medium Performance,1.9494680872425000,Vertical Screen,3.2074830072424700,Vertical Display
1710,0.33523252433333300,High Performance,1.850311916150090,Vertical Screen,2.4661654092991700,Vertical Display
1712,0.2617384616666670,Medium Performance,1.957799138375730,Vertical Screen,2.4661654092991700,Vertical Display
1705,0.19039240333333300,Medium Performance,1.9420433783179100,Vertical Screen,3.2074830072424700,Vertical Display
1715,0.22524827333333300,Medium Performance,2.3108448882453600,Vertical Screen,1.9523809514561400,Vertical Display
1716,0.209240974,Medium Performance,1.5118451525387300,Vertical Screen,1.9523809514561400,Vertical Display
1717,0.1695584343333330,Medium Performance,2.0773020631166200,Vertical Screen,3.2074830072424700,Vertical Display
1718,0.15352039233333300,Medium Performance,1.8434239901290800,Vertical Screen,1.1536796557127100,Vertical Display
1719,0.17716489000000000,Medium Performance,1.7580452413169600,Vertical Screen,2.510204088804670,Vertical Display
1720,0.17716489000000000,Medium Performance,1.7033547346914400,Vertical Screen,2.510204088804670,Vertical Display
